Kitap_ID,Baslik,Yazar,Tur,Kategori,Kaynak,Yayın_Yili,Temizlenmis_Ozet,Cumleler,Token_Sayisi,Duraksiz_Tokenlar,Stemmed_Tokenlar
KIT022,Don Kişot,Miguel de Cervantes,Roman,Çeviri,Goodreads,1605,Dünya edebiyatının ilk modern romanı olarak kabul edilen bu eser hayalci şövalye Don Kişot ile sadık uşağı Sancho Panza nın macerasını anlatır İdealizm ile gerçeklik arasındaki çatışmayı mizahi bir dille ele alan roman yüzyıllar boyunca okunmaya ve yorumlanmaya devam etmektedir,"Dünya edebiyatının ilk modern romanı olarak kabul edilen bu eser, hayalci şövalye Don Kişot ile sadık uşağı Sancho Panza'nın macerasını anlatır. | İdealizm ile gerçeklik arasındaki çatışmayı mizahi bir dille ele alan roman, yüzyıllar boyunca okunmaya ve yorumlanmaya devam etmektedir.",40,dünya edebiyatının ilk modern romanı kabul edilen eser hayalci şövalye don kişot sadık uşağı sancho panza macerasını anlatır idealizm gerçeklik arasındaki çatışmayı mizahi dille ele alan roman yüzyıllar boyunca okunmaya yorumlanmaya devam etmektedir,dünya edebiyat ilk modern roma kabul edile eser hayalci şövalye don kişot sadık uşak sancho panza macera an idealizm gerçeklik aras çatışma mizah dil el ala roma yüzyıl boy okunma yorumlanma deva etmek
KIT023,Küçük Prens,Antoine de Saint-Exupéry,Çocuk / Yetişkin,Çeviri,Kitapyurdu,1943,Bir pilot ile küçük bir prens arasındaki karşılaşmayı anlatan bu kısa roman hem çocuklara hem de yetişkinlere hitap eden evrensel bir başyapıttır Arkadaşlık aşk yalnızlık ve hayatın anlamı gibi temaları şiirsel bir dille işleyen eser dünya genelinde en çok okunan kitaplar arasında yer almaktadır,"Bir pilot ile küçük bir prens arasındaki karşılaşmayı anlatan bu kısa roman, hem çocuklara hem de yetişkinlere hitap eden evrensel bir başyapıttır. | Arkadaşlık, aşk, yalnızlık ve hayatın anlamı gibi temaları şiirsel bir dille işleyen eser, dünya genelinde en çok okunan kitaplar arasında yer almaktadır.",44,pilot prens arasındaki karşılaşmayı anlatan kısa roman çocuklara yetişkinlere hitap eden evrensel başyapıttır arkadaşlık aşk yalnızlık hayatın anlamı temaları şiirsel dille işleyen eser dünya genelinde okunan kitaplar yer almaktadır,pilot prens aras karşılaşma anla kıs roma çocuk yetişkin hitap e evrensel başyapıt arkadaşlık aşk yalnızlık hayat anla tema şiirsel dil işleye eser dünya genel okuna kitap yer almak
KIT024,Fatih Harbiye,Peyami Safa,Roman,Türk Edebiyatı,D&R,1931,Geleneksel Müslüman Fatih ile modern Batılı Harbiye semtleri arasında sıkışan bir genç kızın kimlik bunalımını anlatan bu roman Türk modernleşmesinin bireysel düzeydeki yansımalarını işlemektedir Neriman ın iki dünya arasındaki tercih sancısı dönemin Türkiye sinin kültürel ikilemini simgeler,"Geleneksel Müslüman Fatih ile modern Batılı Harbiye semtleri arasında sıkışan bir genç kızın kimlik bunalımını anlatan bu roman, Türk modernleşmesinin bireysel düzeydeki yansımalarını işlemektedir. | Neriman'ın iki dünya arasındaki tercih sancısı, dönemin Türkiye'sinin kültürel ikilemini simgeler.",37,geleneksel müslüman fatih modern batılı harbiye semtleri sıkışan genç kızın kimlik bunalımını anlatan roman türk modernleşmesinin bireysel düzeydeki yansımalarını işlemektedir neriman iki dünya arasındaki tercih sancısı dönemin türkiye sinin kültürel ikilemini simgeler,geleneksel müslüma fatih modern batıl harbi semt sıkışa genç kız kimlik bunalım anla roma türk modernleşme bireysel düzey yansıma işlemek nerima ik dünya aras tercih sancıs döne türki si kültürel ikilem simge
KIT025,Serenad,Zülfü Livaneli,Roman,Türk Edebiyatı,Goodreads,2011,Bir müzisyen ile bir bilim insanının hayatlarının kesiştiği bu roman Schubert in Serenad bestesi etrafında örülmüş güçlü bir aşk ve özgürlük hikayesidir İkinci Dünya Savaşı atmosferinde geçen eser sanatın ve müziğin insanı nasıl kurtarabileceğini duygusal bir şekilde anlatmaktadır,"Bir müzisyen ile bir bilim insanının hayatlarının kesiştiği bu roman, Schubert'in Serenad bestesi etrafında örülmüş güçlü bir aşk ve özgürlük hikayesidir. | İkinci Dünya Savaşı atmosferinde geçen eser, sanatın ve müziğin insanı nasıl kurtarabileceğini duygusal bir şekilde anlatmaktadır.",38,müzisyen bilim insanının hayatlarının kesiştiği roman schubert serenad bestesi etrafında örülmüş güçlü aşk özgürlük hikayesidir ikinci dünya savaşı atmosferinde eser sanatın müziğin insanı nasıl kurtarabileceğini duygusal şekilde anlatmaktadır,müzisye bil insan hayat kesiştik roma schubert serenadı bestes etraf örül güçlü aşk özgürlük hikayes ikinci dünya savaş atmosfer eser sanat müzik insa nasıl kurtarabilecek duygusal şekil anlatmak
KIT026,Bülbülü Öldürmek,Harper Lee,Roman,Çeviri,Kitapyurdu,1960,Amerika nın ırkçı güney eyaletlerinde geçen bu roman küçük bir kızın gözünden adaleti ve insanlığı sorgulamaktadır Avukat Atticus Finch in haksız yere suçlanan siyah bir adamı savunması üzerinden ahlaki cesaret ve empati temaları işlenmektedir Nobel ödüllü bu eser dünya edebiyatının en kalıcı başyapıtlarından kabul edilmektedir,"Amerika'nın ırkçı güney eyaletlerinde geçen bu roman, küçük bir kızın gözünden adaleti ve insanlığı sorgulamaktadır. | Avukat Atticus Finch'in haksız yere suçlanan siyah bir adamı savunması üzerinden ahlaki cesaret ve empati temaları işlenmektedir. | Nobel ödüllü bu eser, dünya edebiyatının en kalıcı başyapıtlarından kabul edilmektedir.",45,amerika ırkçı güney eyaletlerinde roman kızın gözünden adaleti insanlığı sorgulamaktadır avukat atticus finch haksız yere suçlanan siyah adamı savunması üzerinden ahlaki cesaret empati temaları işlenmektedir nobel ödüllü eser dünya edebiyatının kalıcı başyapıtlarından kabul edilmektedir,amerik ırkçı güney eyalet roma kız göz adalet insanlık sorgulamak avukat atticus finch haksız yer suçlana siyah ada savunmas üzer ahlaki cesaret empat tema işlenmek nobel ödüllü eser dünya edebiyat kalıç başyapıt kabul edilmek
KIT027,Simyacı,Paulo Coelho,Roman,Çeviri,D&R,1988,Genç bir çobanın kendi kaderine ulaşma yolculuğunu anlatan bu roman dünya genelinde yüz milyonlarca okuyucuya ulaşmış felsefi bir macera hikayesidir Evrenin dili ve kişisel efsane kavramları üzerinden bireyin hayattaki amacını bulma yolculuğu anlatılmaktadır Coelho bu eserde Doğu ve Batı bilgeliğini evrensel bir dille harmanlmıştır,"Genç bir çobanın kendi kaderine ulaşma yolculuğunu anlatan bu roman, dünya genelinde yüz milyonlarca okuyucuya ulaşmış felsefi bir macera hikayesidir. | Evrenin dili ve kişisel efsane kavramları üzerinden bireyin hayattaki amacını bulma yolculuğu anlatılmaktadır. | Coelho bu eserde Doğu ve Batı bilgeliğini evrensel bir dille harmanlmıştır.",44,genç çobanın kaderine ulaşma yolculuğunu anlatan roman dünya genelinde yüz milyonlarca okuyucuya ulaşmış felsefi macera hikayesidir evrenin dili kişisel efsane kavramları üzerinden bireyin hayattaki amacını bulma yolculuğu anlatılmaktadır coelho eserde doğu batı bilgeliğini evrensel dille harmanlmıştır,genç çoba kader ulaşma yolculuk anla roma dünya genel yüz milyon okuyucu ulaş felsef macer hikayes evre dil kişisel efsa kavram üzer birey hayat amaç bulma yolculuk anlatılmak coelho eser dok bat bilgelik evrensel dil harmanlmış
KIT028,Kürk Mantolu Madonna,Sabahattin Ali,Roman,Türk Edebiyatı,Goodreads,1943,Türk edebiyatının en çok okunan romanlarından olan bu eser Berlin de yaşanan imkansız bir aşk hikayesini anlatır Raif Efendi nin derin ve karşılıksız aşkı sıradan bir insanın olağanüstü bir iç dünyasını gözler önüne serer Sabahattin Ali bu romanla hem bireysel hem de toplumsal yabancılaşmayı ustalıkla işlemiştir,"Türk edebiyatının en çok okunan romanlarından olan bu eser, Berlin'de yaşanan imkansız bir aşk hikayesini anlatır. | Raif Efendi'nin derin ve karşılıksız aşkı, sıradan bir insanın olağanüstü bir iç dünyasını gözler önüne serer. | Sabahattin Ali bu romanla hem bireysel hem de toplumsal yabancılaşmayı ustalıkla işlemiştir.",46,türk edebiyatının okunan romanlarından eser berlin yaşanan imkansız aşk hikayesini anlatır raif efendi derin karşılıksız aşkı sıradan insanın olağanüstü dünyasını gözler önüne serer sabahattin ali romanla bireysel toplumsal yabancılaşmayı ustalıkla işlemiştir,türk edebiyat okuna roman eser berl yaşana imkansız aşk hikaye an raif efe der karşılıksız aşkı sıra insa olağanüs dünya göz ön serer sabahatt ali roma bireysel toplumsal yabancılaşma ustalık işlemiş
KIT029,Hayvan Çiftliği,George Orwell,Roman,Çeviri,Kitapyurdu,1945,Bir çiftlikteki hayvanların isyanı üzerinden totaliter rejimleri ve ideolojik yozlaşmayı hicveden bu roman siyasi alegorinin en başarılı örneklerinden biridir İktidarın nasıl yolsuzlaştığını ve devrimlerin nasıl kendi ideallerini çiğnediğini anlatan eser güncelliğini korumaya devam etmektedir,"Bir çiftlikteki hayvanların isyanı üzerinden totaliter rejimleri ve ideolojik yozlaşmayı hicveden bu roman, siyasi alegorinin en başarılı örneklerinden biridir. | İktidarın nasıl yolsuzlaştığını ve devrimlerin nasıl kendi ideallerini çiğnediğini anlatan eser, güncelliğini korumaya devam etmektedir.",34,çiftlikteki hayvanların isyanı üzerinden totaliter rejimleri ideolojik yozlaşmayı hicveden roman siyasi alegorinin başarılı örneklerinden biridir iktidarın nasıl yolsuzlaştığını devrimlerin nasıl ideallerini çiğnediğini anlatan eser güncelliğini korumaya devam etmektedir,çiftlik hayva isya üzer totaliter rejim ideolojik yozlaşma hicve roma siyas alegor başarıl örnek bir iktidar nasıl yolsuzlaştık devr nasıl ideal çiğnedik anla eser güncellik koruma deva etmek
KIT030,1984,George Orwell,Roman,Çeviri,D&R,1949,Totaliter bir gelecek toplumunda geçen bu distopik roman gözetleme devleti ve bireysel özgürlüğün yok edilmesi temalarını işler Büyük Birader ve Düşünce Polisi kavramları bu eserden günümüz diline geçmiştir Orwell bu romanla yüzyılın en etkili siyasi uyarılarından birini kaleme almıştır,"Totaliter bir gelecek toplumunda geçen bu distopik roman, gözetleme devleti ve bireysel özgürlüğün yok edilmesi temalarını işler. | Büyük Birader ve Düşünce Polisi kavramları bu eserden günümüz diline geçmiştir. | Orwell bu romanla 20. yüzyılın en etkili siyasi uyarılarından birini kaleme almıştır.",39,totaliter gelecek toplumunda distopik roman gözetleme devleti bireysel özgürlüğün edilmesi temalarını işler birader düşünce polisi kavramları eserden günümüz diline geçmiştir orwell romanla yüzyılın etkili siyasi uyarılarından birini kaleme almıştır,totaliter gelecek toplum distopik roma gözetle devlet bireysel özgürlük edilmes tema iş birader düş polis kavram eser gün dil geç orwell roma yüzyıl etkil siyas uyarı bir kale al
KIT031,Aylak Adam,Yusuf Atılgan,Roman,Türk Edebiyatı,Goodreads,1959,İstanbul sokaklarında amaçsızca dolaşan C adlı bir karakterin varoluşsal bunalımını anlatan bu roman Türk edebiyatının en özgün eserlerinden biridir Yabancılaşma ve anlamsızlık temaları üzerine kurulan roman Albert Camus ve Jean Paul Sartre ın varoluşçu felsefesinin izlerini taşımaktadır,"İstanbul sokaklarında amaçsızca dolaşan C. adlı bir karakterin varoluşsal bunalımını anlatan bu roman, Türk edebiyatının en özgün eserlerinden biridir. | Yabancılaşma ve anlamsızlık temaları üzerine kurulan roman, Albert Camus ve Jean-Paul Sartre'ın varoluşçu felsefesinin izlerini taşımaktadır.",36,istanbul sokaklarında amaçsızca dolaşan adlı karakterin varoluşsal bunalımını anlatan roman türk edebiyatının özgün eserlerinden biridir yabancılaşma anlamsızlık temaları üzerine kurulan roman albert camus jean paul sartre varoluşçu felsefesinin izlerini taşımaktadır,istanbul sokak amaçsız dolaşa adlı karakter varoluşsal bunalım anla roma türk edebiyat özgü eser bir yabancılaşma anlamsızlık tema üzer kurula roma albert camus jean paul sartre varoluşçu felsefe iz taşımak
KIT032,Masumiyet Müzesi,Orhan Pamuk,Roman,Türk Edebiyatı,Kitapyurdu,2008,Nobel ödüllü yazar Orhan Pamuk un kaleme aldığı bu roman ler İstanbul unda yaşanan tutkulu bir aşk hikayesini ve kayıp zamanın izini süren bir adamın hikayesini anlatır Roman için gerçekte kurulan müze kurgu ile gerçeği iç içe geçirmiştir Pamuk bu eserde koleksiyon obsesyonu ve hafıza üzerine derin bir meditasyon sunar,"Nobel ödüllü yazar Orhan Pamuk'un kaleme aldığı bu roman, 1970'ler İstanbul'unda yaşanan tutkulu bir aşk hikayesini ve kayıp zamanın izini süren bir adamın hikayesini anlatır. | Roman için gerçekte kurulan müze, kurgu ile gerçeği iç içe geçirmiştir. | Pamuk bu eserde koleksiyon obsesyonu ve hafıza üzerine derin bir meditasyon sunar.",50,nobel ödüllü yazar orhan pamuk kaleme aldığı roman ler istanbul unda yaşanan tutkulu aşk hikayesini kayıp zamanın izini süren adamın hikayesini anlatır roman gerçekte kurulan müze kurgu gerçeği içe geçirmiştir pamuk eserde koleksiyon obsesyonu hafıza üzerine derin meditasyon sunar,nobel ödüllü yazar orha pamuk kale aldık roma ler istanbul un yaşana tutkul aşk hikaye kayıp zama iz süre ada hikaye an roma gerçek kurula müz kurgu gerçek iç geçir pamuk eser koleksiyo obsesyo hafız üzer der meditasyo sunar
KIT033,Kar,Orhan Pamuk,Roman,Türk Edebiyatı,D&R,2002,Siyasi İslamcılık laiklik kimlik ve sanat temalarını ustalıkla işleyen bu roman karla kaplı Kars şehrinde geçen yoğun bir atmosfer içinde hem bireysel hem de toplumsal bir yüzleşmeyi anlatır Pamuk bu eserde Türkiye nin Doğu Batı gerilimini çok boyutlu bir şekilde ele almaktadır,"Siyasi İslamcılık laiklik kimlik ve sanat temalarını ustalıkla işleyen bu roman, karla kaplı Kars şehrinde geçen yoğun bir atmosfer içinde hem bireysel hem de toplumsal bir yüzleşmeyi anlatır. | Pamuk bu eserde Türkiye'nin Doğu-Batı gerilimini çok boyutlu bir şekilde ele almaktadır.",42,siyasi islamcılık laiklik kimlik sanat temalarını ustalıkla işleyen roman karla kaplı kars şehrinde yoğun atmosfer bireysel toplumsal yüzleşmeyi anlatır pamuk eserde türkiye doğu batı gerilimini boyutlu şekilde ele almaktadır,siyas islamcılık laiklik kimlik sanat tema ustalık işleye roma kar kaplı kars şehr yok atmosfer bireysel toplumsal yüzleşme an pamuk eser türki dok bat gerilim boyutlu şekil el almak
KIT034,Sözlerin Rengi,Murathan Mungan,Şiir,Türk Edebiyatı,Goodreads,1995,Murathan Mungan ın dil ve imgelem açısından son derece zengin şiirlerini bir araya getiren bu kitap Türk şiirinde özgün ve güçlü bir ses olarak öne çıkmaktadır Kimlik arzu ve yabancılaşma temaları şairin karakteristik lirizmyle işlenmektedir,"Murathan Mungan'ın dil ve imgelem açısından son derece zengin şiirlerini bir araya getiren bu kitap, Türk şiirinde özgün ve güçlü bir ses olarak öne çıkmaktadır. | Kimlik, arzu ve yabancılaşma temaları şairin karakteristik lirizmyle işlenmektedir.",35,murathan mungan dil imgelem açısından son derece zengin şiirlerini araya getiren kitap türk şiirinde özgün güçlü ses öne çıkmaktadır kimlik arzu yabancılaşma temaları şairin karakteristik lirizmyle işlenmektedir,muratha munga dil imgele açı son dereç zengi şiir ara getire kitap türk şiir özgü güçlü ses ön çıkmak kimlik arzu yabancılaşma tema şair karakteris lirizmyle işlenmek
KIT035,Beyoğlu'nun En Güzel Abisi,Hasan Ali Toptaş,Roman,Türk Edebiyatı,Kitapyurdu,2006,Toptaş ın büyülü gerçekçilik anlayışıyla kaleme aldığı bu roman İstanbul un Beyoğlu semtinde geçen mistik ve kurgusal bir atmosfer içinde bireyin varoluş sorgulamasını anlatır Yazar bu eserde gerçek ve hayal arasındaki sınırı ustalıkla bulanıklaştırmaktadır,"Toptaş'ın büyülü gerçekçilik anlayışıyla kaleme aldığı bu roman, İstanbul'un Beyoğlu semtinde geçen mistik ve kurgusal bir atmosfer içinde bireyin varoluş sorgulamasını anlatır. | Yazar bu eserde gerçek ve hayal arasındaki sınırı ustalıkla bulanıklaştırmaktadır.",34,toptaş büyülü gerçekçilik anlayışıyla kaleme aldığı roman istanbul beyoğlu semtinde mistik kurgusal atmosfer bireyin varoluş sorgulamasını anlatır yazar eserde gerçek hayal arasındaki sınırı ustalıkla bulanıklaştırmaktadır,toptaş büyül gerçekçilik anlayış kale aldık roma istanbul beyoğlu semt mis kurgusal atmosfer birey varoluş sorgulama an yazar eser gerçek hayal aras sınır ustalık bulanıklaştırmak
KIT036,Tehlikeli Oyunlar,Oğuz Atay,Roman,Türk Edebiyatı,D&R,1973,Oğuz Atay ın ikinci romanı olan bu eser Hikmet Benol adlı bir karakterin hem kişisel hem de toplumsal yabancılaşmasını bilinç akışı tekniğiyle anlatır Geleneksel roman yapısına meydan okuyan bu eser Türk edebiyatında postmodern anlatının öncüsü sayılmaktadır,"Oğuz Atay'ın ikinci romanı olan bu eser, Hikmet Benol adlı bir karakterin hem kişisel hem de toplumsal yabancılaşmasını bilinç akışı tekniğiyle anlatır. | Geleneksel roman yapısına meydan okuyan bu eser Türk edebiyatında postmodern anlatının öncüsü sayılmaktadır.",36,oğuz atay ikinci romanı eser hikmet benol adlı karakterin kişisel toplumsal yabancılaşmasını bilinç akışı tekniğiyle anlatır geleneksel roman yapısına meydan okuyan eser türk edebiyatında postmodern anlatının öncüsü sayılmaktadır,ok atay ikinci roma eser hikmet benol adlı karakter kişisel toplumsal yabancılaşma bilinç akış teknik an geleneksel roma yapı meyda okuya eser türk edebiyat postmodern anlat öncüs sayılmak
KIT037,Serenat,Hüseyin Rahmi Gürpınar,Roman,Türk Edebiyatı,Goodreads,1919,Hüseyin Rahmi Gürpınar ın toplumsal hiciv ustası kimliğini ortaya koyan bu roman İstanbul un sosyal hayatındaki çelişkileri ve yozlaşmayı eğlenceli bir dille anlatır Yazar bu eserde hem güldürü hem de eleştiri unsurlarını bir arada kullanan kendine özgü tekniğini sergilemiştir,"Hüseyin Rahmi Gürpınar'ın toplumsal hiciv ustası kimliğini ortaya koyan bu roman, İstanbul'un sosyal hayatındaki çelişkileri ve yozlaşmayı eğlenceli bir dille anlatır. | Yazar bu eserde hem güldürü hem de eleştiri unsurlarını bir arada kullanan kendine özgü tekniğini sergilemiştir.",39,hüseyin rahmi gürpınar toplumsal hiciv ustası kimliğini ortaya koyan roman istanbul sosyal hayatındaki çelişkileri yozlaşmayı eğlenceli dille anlatır yazar eserde güldürü eleştiri unsurlarını arada kullanan kendine özgü tekniğini sergilemiştir,hüsey rahmi gürpınar toplumsal hiciv ustas kimlik orta koya roma istanbul sosyal hayat çelişki yozlaşma eğlencel dil an yazar eser güldür eleştir unsur ara kullana kendi özgü teknik sergilemiş
KIT038,Uçurtma Avcısı,Khaled Hosseini,Roman,Çeviri,Kitapyurdu,2003,Afganistan da iki çocukluk arkadaşının hikayesini anlatan bu roman ihanet suçluluk ve kurtuluş temalarını işleyen güçlü bir eserdir Sovyet işgalinden Taliban dönemine uzanan tarihsel süreç bireysel hikayelerle ustaca örülmüştür Eser dünya genelinde milyonlarca okuyucunun kalbine dokunmayı başarmıştır,"Afganistan'da iki çocukluk arkadaşının hikayesini anlatan bu roman, ihanet suçluluk ve kurtuluş temalarını işleyen güçlü bir eserdir. | Sovyet işgalinden Taliban dönemine uzanan tarihsel süreç bireysel hikayelerle ustaca örülmüştür. | Eser dünya genelinde milyonlarca okuyucunun kalbine dokunmayı başarmıştır.",37,afganistan iki çocukluk arkadaşının hikayesini anlatan roman ihanet suçluluk kurtuluş temalarını işleyen güçlü eserdir sovyet işgalinden taliban dönemine uzanan tarihsel süreç bireysel hikayelerle ustaca örülmüştür eser dünya genelinde milyonlarca okuyucunun kalbine dokunmayı başarmıştır,afganis ik çocukluk arkadaş hikaye anla roma ihanet suçluluk kurtuluş tema işleye güçlü eser sovyet işgal taliba dönem uzana tarihsel süreç bireysel hikaye ustaç örül eser dünya genel milyon okuyuç kalp dokunma başar
KIT039,Küçük Kadınlar,Louisa May Alcott,Roman,Çeviri,D&R,1868,Amerikan iç savaşı döneminde dört kardeşin büyüme hikayesini anlatan bu roman kadın kimliği ve bağımsızlık temalarını dönemine göre cesurca işlemesiyle öne çıkmaktadır March ailesinin kızlarının rüyaları mücadeleleri ve sevinçleri evrensel bir aile hikayesi sunmaktadır,"Amerikan iç savaşı döneminde dört kardeşin büyüme hikayesini anlatan bu roman, kadın kimliği ve bağımsızlık temalarını dönemine göre cesurca işlemesiyle öne çıkmaktadır. | March ailesinin kızlarının rüyaları mücadeleleri ve sevinçleri evrensel bir aile hikayesi sunmaktadır.",34,amerikan savaşı döneminde dört kardeşin büyüme hikayesini anlatan roman kadın kimliği bağımsızlık temalarını dönemine cesurca işlemesiyle öne çıkmaktadır march ailesinin kızlarının rüyaları mücadeleleri sevinçleri evrensel aile hikayesi sunmaktadır,amerika savaş dönem dört kardeş büy hikaye anla roma kadı kimlik bağımsızlık tema dönem cesur işleme ön çıkmak march aile kız rüya mücadele sevinç evrensel ai hikayes sunmak
KIT040,Matmazel Noraliya'nın Koltuğu,Peyami Safa,Roman,Türk Edebiyatı,Goodreads,1949,Peyami Safa nın manevi arayış ve ruh ikiliği temalarını işlediği bu roman hem psikolojik çözümlemesi hem de mistik atmosferiyle öne çıkmaktadır Ferit adlı karakterin iç dünyasındaki karışıklık ve nihayetinde bulduğu huzur varoluşsal bir yolculuğu simgelemektedir,"Peyami Safa'nın manevi arayış ve ruh ikiliği temalarını işlediği bu roman, hem psikolojik çözümlemesi hem de mistik atmosferiyle öne çıkmaktadır. | Ferit adlı karakterin iç dünyasındaki karışıklık ve nihayetinde bulduğu huzur, varoluşsal bir yolculuğu simgelemektedir.",35,peyami safa manevi arayış ruh ikiliği temalarını işlediği roman psikolojik çözümlemesi mistik atmosferiyle öne çıkmaktadır ferit adlı karakterin dünyasındaki karışıklık nihayetinde bulduğu huzur varoluşsal yolculuğu simgelemektedir,peya saf manev arayış ruh ikilik tema işledik roma psikolojik çözümlemes mis atmosfer ön çıkmak ferit adlı karakter dünyas karışıklık nihayet bulduk huzur varoluşsal yolculuk simgelemek
